travel_mm,motion_ratio,damper_disp_mm,bellcrank_rot_deg,pushrod_comp_mm,wheel_rate_N_mm
-18.0,0.8951348328656934,16.6621556270606,-17.409834194931154,0.0,31.57229873808105
-17.0,0.8984490201538904,15.76536642765322,-16.455423010880107,0.0,31.806520919455583
-16.0,0.901784263743366,14.865252321711978,-15.500795293678435,0.0,32.04310506298049
-15.0,0.9051389347085887,13.961793025364045,-14.545713990986735,0.0,32.28195157981409
-14.0,0.9085116683108367,13.054969851190975,-13.58994248706967,0.0,32.5229781677578
-13.0,0.9119003432236639,12.144765786071247,-12.633244062755193,0.0,32.76604678398249
-12.0,0.9153034161033418,11.231165580401381,-11.67538135706161,0.0,33.01105887613021
-11.0,0.9187188994634425,10.314155849357803,-10.716115827044193,0.0,33.25788213276267
-10.0,0.9221447522655808,9.39372518700469,-9.755207202433633,0.0,33.5063782515918
-9.0,0.9255787983404389,8.469864294159265,-8.792412931570876,0.0,33.756396898666644
-8.0,0.9290187109995429,7.5425661210682335,-7.8274876150534105,0.0,34.0077743835539
-7.0,0.9324619963712166,6.611826026089943,-6.860182423359823,0.0,34.26033221838186
-6.0,0.9359059752896712,5.677641951739076,-5.890244494527575,0.0,34.51387554655043
-5.0,0.9393477635402405,4.740014619639908,-4.9174163077226485,0.0,34.768191424863836
-4.0,0.9427842502436761,3.7989477461382535,-3.941435028238591,0.0,35.02304694122422
-3.0,0.9462120741624744,2.8544482805342852,-2.962031819080627,0.0,35.27818714992744
-2.0,0.9496276376902131,1.9065266681661512,-1.9789311138603878,0.0,35.53333579839552
-1.0,0.9530268877061019,0.9551970959299467,-0.9918497985673159,0.0,35.78817857916276
0.0,0.9564056453001228,0.00047798237247320685,-0.0004965648677882471,0.0,36.04238741473569
1.0,0.9597592269701352,-0.9576079071096331,0.9954292182948472,0.0,36.29559169924113
2.0,0.9630825689048663,-1.9190329187352688,1.9962382953462856,0.0,36.54738714452241
3.0,0.9663701521967596,-2.8837641131191845,3.002252582266829,0.0,36.79732969345063
4.0,0.9696159541398401,-3.851762786502235,4.013806273099723,0.0,37.04493134708256
5.0,0.972813121029219,-4.822983667379873,5.031246756617787,0.0,37.28963461290177
6.0,0.975955271332424,-5.797375421703492,6.05493707516204,0.0,37.53091191675181
7.0,0.9790336965790232,-6.774878359094174,7.0852556435267555,0.0,37.76805049500227
8.0,0.9820400156674509,-7.755424801635769,8.122598974786081,0.0,38.00035534723893
9.0,0.9849647204717087,-8.738938001722772,9.167383135880048,0.0,38.22703718911382
10.0,0.987797349830771,-9.725331240346037,10.220045675030434,0.0,38.44722524152117
11.0,0.9905263764084395,-10.714506819328903,11.28104776152745,0.0,38.65995802052393
12.0,0.9931390776058038,-11.70635493275941,12.350876569480851,0.0,38.86417293791005
13.0,0.9956213878191988,-12.700752400379997,13.430047942652369,0.0,39.058694532434934
14.0,0.9979577287498671,-13.697561242709526,14.519109384161997,0.0,39.24222111672589
15.0,1.000130813811353,-14.696627074069426,15.618643422980645,0.0,39.41330958749159
16.0,1.002121421815957,-15.69777728531912,16.72927141904249,0.0,39.570358098092136
17.0,1.0039083876850157,-16.700819237638314,17.851658167487734,0.0,39.7116063002071
18.0,1.005467024921984,-17.70553689571821,18.98651567225905,0.0,39.83501205710995
19.0,1.0067713124635418,-18.711689687267665,20.13461049408013,0.0,39.93842670404956
20.0,1.007790919887583,-19.719008409634284,21.296769074535334,0.0,40.01936293300433
21.0,1.0084919837526911,-20.72719195946064,22.473885494297793,0.0,40.075060771205344
22.0,1.0088362542689993,-21.735903258235794,23.666930145027433,0.0,40.10242641610747
23.0,1.0087803796537003,-22.744764524562044,24.8769598478312,0.0,40.097984375909114
24.0,1.0082750430206602,-23.75335176117099,26.1051297266575,0.0,40.057821213392714
25.0,1.0072639139469857,-24.761188291552884,27.352707225610576,0.0,39.97751907996516
26.0,1.0056823649709656,-25.76773713773946,28.62108876511127,0.0,39.852076748073266
27.0,1.0034558868688919,-26.772391974104153,29.911819673164768,0.0,39.675815216688946
28.0,1.0004981139107656,-27.77446631054758,31.22661821017905,0.0,39.44226414142439
29.0,0.9967083394306542,-28.773180472616474,32.56740478497535,0.0,39.14402432983179
30.0,0.9919683568759865,-29.767645771999355,33.93633777075857,0.0,38.77260011276696
31.0,0.9861383927060672,-30.75684510755997,35.33585788026012,0.0,38.31819323180358
32.0,0.9790518008804554,-31.739608925485356,36.76874371679919,0.0,37.76944732229258
